"species_code","score","start_offset_sec","end_offset_sec"
"pilwoo",0.99511796,3,6
"bkcchi",0.9911196,9,12
"sander",0.3079719,12,15
"bnhcow",0.9859333,15,18
"rewbla",0.890061,17,20
"redcro",0.9994221,22,25
"amerob",0.6027009,32,35
"cerwar",0.38042843,36,39
"grycat",0.95629954,43,46
"swathr",0.54642946,44,47
"daejun",0.2831427,45,48
"eursta",0.5570105,48,51
"houwre",0.9355612,60,63
"reevir1",0.3725342,63,66
"blujay",0.28286976,100,103
"swaspa",0.31198484,102,105
"bkbcuc",0.99646676,111,114
"sonspa",0.9986942,158,161
"yelwar",0.5264765,169,172
"amegfi",0.9996227,171,174
"ovenbi1",0.30815077,189,192
"purfin",0.30175516,204,207
"whtspa",0.49421492,214,217
"comyel",0.9993079,216,219
"yerwar",0.7735682,218,221
"chswar",0.99921954,221,224
"veery",0.99827844,221,224
"bkbwar",0.5911288,233,236
"tuftit",0.546797,238,241
"norcar",0.6196583,247,250
"hoowar",0.2810219,248,251
"houspa",0.59549785,250,253
"osprey",0.25520045,250,253
"indbun",0.8347101,252,255
"mouwar",0.99857104,256,259
"barswa",0.67436033,281,284
