"species_code","score","start_offset_sec","end_offset_sec"
"whwcro",0.32831445,5,8
"redcro",0.9960417,17,20
"yerwar",0.7315754,19,22
"naswar",0.9997551,40,43
"pinwar",0.27912772,54,57
"whtspa",0.99881107,77,80
"yelwar",0.35393634,86,89
"louwat",0.27507064,129,132
"buhvir",0.95321673,147,150
"evegro",0.83036184,173,176
"canwar",0.9914323,201,204
"blujay",0.9962998,251,254
"brwhaw",0.7883289,264,267
"merlin",0.9684845,296,299
"norpar",0.26509923,334,337
"reevir1",0.4627228,335,338
"magwar",0.9248078,339,342
"yebfly",0.99929035,438,441
"amerob",0.42820066,477,480
"bkbwar",0.8117682,478,481
"ovenbi1",0.6706497,570,573
"btnwar",0.6082334,571,574
"daejun",0.78267694,664,667
"winwre3",0.7622313,671,674
"rebnut",0.5365172,672,675
"hoowar",0.7064632,735,738
"herthr",0.9133459,746,749
"comyel",0.99899054,752,755
"gockin",0.8210791,763,766
