"species_code","score","start_offset_sec","end_offset_sec"
"bkcchi",0.9993811,0,3
"reevir1",0.9971856,10,13
"yetvir",0.4240751,21,24
"winwre3",0.99103105,46,49
"cedwax",0.97226846,54,57
"btbwar",0.46712366,67,70
"moudov",0.44726804,75,78
"ovenbi1",0.9999164,134,137
"purfin",0.43238991,173,176
"whtspa",0.3327607,192,195
"buggna",0.3938529,228,231
"redcro",0.9997613,258,261
"brncre",0.8635861,273,276
"brdowl",0.7625927,408,411
"swathr",0.9993233,437,440
"yerwar",0.53116345,465,468
"grcfly",0.37021315,508,511
"eawpew",0.9963221,624,627
"woothr",0.43643546,759,762
"scatan",0.69579613,792,795
"buhvir",0.99516815,844,847
"bkbwar",0.93574756,848,851
"btnwar",0.9808023,871,874
"amerob",0.97351897,872,875
"daejun",0.8763979,878,881
"bnhcow",0.75667274,889,892
"herthr",0.9952207,896,899
