"species_code","score","start_offset_sec","end_offset_sec"
"chswar",0.98284143,0,3
"blujay",0.92511874,4,7
"buhvir",0.94242144,38,41
"cedwax",0.76355815,48,51
"comyel",0.99722254,59,62
"normoc",0.68926936,66,69
"btnwar",0.82554644,83,86
"norpar",0.99992925,88,91
"reevir1",0.9967033,107,110
"eawpew",0.99489343,127,130
"magwar",0.85690105,155,158
"herthr",0.74759406,241,244
"amerob",0.9283057,266,269
"rewbla",0.5764375,272,275
"yerwar",0.99542195,308,311
"virrai",0.9212813,311,314
"daejun",0.9912716,332,335
"winwre3",0.7897917,343,346
"whtspa",0.99897456,353,356
"purfin",0.66084695,365,368
