"species_code","score","start_offset_sec","end_offset_sec"
"hoomer",0.61930794,3,6
"comyel",0.7621406,5,8
"rewbla",0.9875725,16,19
"leabit",0.9794146,17,20
"amerob",0.89235735,23,26
"warvir",0.99400437,24,27
"normoc",0.8727153,56,59
"sonspa",0.93566257,57,60
"swaspa",0.99947286,83,86
"chispa",0.7987427,88,91
"grycat",0.99992526,104,107
"amecro",0.9395692,104,107
"moudov",0.69577336,110,113
"orcori",0.54470223,116,119
"balori",0.55018353,125,128
"yelwar",0.9997943,126,129
"cedwax",0.9919298,128,131
