"species_code","score","start_offset_sec","end_offset_sec"
"cerwar",0.61214095,13,16
"veery",0.9993403,18,21
"ovenbi1",0.995687,22,25
"btnwar",0.8311182,52,55
"hoowar",0.91574913,120,123
"bkcchi",0.97936875,144,147
"chswar",0.9940034,147,150
"blujay",0.9736883,156,159
"scatan",0.9929007,160,163
"moudov",0.84657186,175,178
"daejun",0.9752403,178,181
"redcro",0.63042134,188,191
"amerob",0.72459394,227,230
"woothr",0.65122014,239,242
"robgro",0.99480975,282,285
"bkbwar",0.63557935,297,300
"btbwar",0.99958897,303,306
"reevir1",0.99707234,320,323
"brncre",0.95100564,326,329
"bawwar",0.97111195,380,383
"herthr",0.9119256,397,400
"comyel",0.564345,411,414
"mouwar",0.97043556,421,424
"kenwar",0.8287044,436,439
"bkbcuc",0.743422,464,467
"amered",0.7031342,469,472
