"species_code","score","start_offset_sec","end_offset_sec"
"normoc",0.9312876,12,15
"graspa",0.99830174,19,22
"norcar",0.9926543,32,35
"moudov",0.55980945,40,43
"indbun",0.9834356,51,54
"tuftit",0.8506134,53,56
"easmea",0.99968326,129,132
"grcfly",0.8368622,156,159
"amecro",0.9448763,203,206
"easblu",0.5070729,209,212
"chispa",0.94342285,238,241
"fiespa",0.9862779,243,246
"comrav",0.52941555,254,257
"easpho",0.71984786,280,283
"comyel",0.9483555,300,303
"sonspa",0.55482227,307,310
"blugrb1",0.99949026,310,313
"carwre",0.7141096,319,322
"rewbla",0.98957163,329,332
"bnhcow",0.99427724,383,386
"dickci",0.6453787,397,400
"yebcha",0.64633,400,403
"amerob",0.99351066,407,410
"easkin",0.69963944,414,417
"houspa",0.7562696,453,456
