"species_code","score","start_offset_sec","end_offset_sec"
"brwhaw",0.5697048,18,21
"blujay",0.9722678,20,23
"mallar3",0.5474879,32,35
"rebnut",0.7211834,59,62
"swathr",0.89381355,63,66
"herthr",0.8670491,65,68
"eawpew",0.96871424,73,76
"ovenbi1",0.59525985,80,83
"comyel",0.9998559,107,110
"yebfly",0.9584035,156,159
"naswar",0.97816736,181,184
"magwar",0.8169586,181,184
"chswar",0.99942064,205,208
"reevir1",0.9660588,210,213
"houfin",0.8889602,212,215
"yelwar",0.6689396,215,218
"whtspa",0.9998333,216,219
"prawar",0.8301655,218,221
"yerwar",0.99778986,227,230
"norpar",0.99743485,228,231
