"species_code","score","start_offset_sec","end_offset_sec"
"reevir1",0.99822336,2,5
"swaspa",0.8576649,38,41
"scatan",0.987488,40,43
"balori",0.6441677,44,47
"dowwoo",0.93411106,60,63
"blujay",0.9957418,88,91
"acafly",0.56869334,126,129
"yebsap",0.964494,133,136
"woothr",0.82361346,149,152
"rewbla",0.9988157,160,163
"amegfi",0.9988428,161,164
"rethaw",0.8956241,212,215
"brncre",0.9027882,220,223
"moudov",0.5328574,222,225
"sonspa",0.6475049,230,233
"grycat",0.99370587,231,234
"amerob",0.9966879,245,248
"eawpew",0.99981564,255,258
"orcori",0.975008,260,263
"comyel",0.9901477,279,282
"rufgro",0.60732895,345,348
"daejun",0.7525848,366,369
"amecro",0.5853164,378,381
