"species_code","score","start_offset_sec","end_offset_sec"
"reevir1",0.99540335,13,16
"pinwar",0.5815186,23,26
"acafly",0.56294376,29,32
"buhvir",0.5130721,38,41
"eastow",0.88494575,41,44
"norcar",0.6058827,55,58
"norpar",0.9899915,68,71
"amerob",0.9538199,82,85
"cedwax",0.9867469,87,90
"amegfi",0.99685776,114,117
"indbun",0.68945336,131,134
"carwre",0.99653286,144,147
"whbnut",0.5977715,156,159
"blujay",0.80927724,160,163
"woothr",0.99979544,211,214
"bawwar",0.72597975,220,223
"grcfly",0.99991393,237,240
"grycat",0.96180266,241,244
"comyel",0.99245614,242,245
"orcori",0.718894,254,257
"amecro",0.97736835,280,283
"easpho",0.61963135,297,300
