"species_code","score","start_offset_sec","end_offset_sec"
"grycat",0.9207844,313,316
"pilwoo",0.9886616,372,375
"carwre",0.9830051,381,384
"eastow",0.94350755,399,402
"woothr",0.99999964,490,493
"blujay",0.9997305,732,735
"carchi",0.99921685,869,872
"buggna",0.91561145,1155,1158
"whbnut",0.99997973,1226,1229
"rebwoo",0.9955765,1295,1298
"wiltur",0.911172,1465,1468
"easpho",0.999545,1466,1469
"norfli",0.939369,1479,1482
"eawpew",0.9983792,1669,1672
"amegfi",0.99627984,1724,1727
"norcar",0.99628943,1806,1809
