"species_code","score","start_offset_sec","end_offset_sec"
"norcar",0.9922673,0,3
"norfli",0.9583267,2,5
"amecro",0.98213863,47,50
"fiespa",0.97491056,49,52
"eastow",0.9907687,50,53
"woothr",0.99960107,66,69
"cedwax",0.93310684,249,252
"indbun",0.9994008,272,275
"yebcuc",0.9769282,311,314
"rebwoo",0.9750758,326,329
"normoc",0.9687919,352,355
"brnthr",0.9872288,435,438
"ovenbi1",0.98699504,583,586
"amegfi",0.9978635,665,668
"reevir1",0.9895363,685,688
"blujay",0.9907266,762,765
"whevir",0.97051775,818,821
"moudov",0.96275234,839,842
"carwre",0.9996139,1044,1047
"buggna",0.98770005,1102,1105
"comyel",0.9608908,1222,1225
"grycat",0.99888897,1288,1291
"grcfly",0.95817244,1336,1339
