"species_code","score","start_offset_sec","end_offset_sec"
"whtspa",0.99979043,21,24
"herthr",0.9963118,35,38
"yebfly",0.988296,63,66
"daejun",0.95781577,63,66
"canwar",0.9868895,150,153
"buhvir",0.99660826,167,170
"rebnut",0.99671406,268,271
"winwre3",0.9999883,270,273
"comrav",0.97486836,284,287
"eastow",0.9081735,303,306
"blujay",0.99864197,333,336
"ovenbi1",0.9357623,404,407
"sonspa",0.9940697,410,413
"gockin",0.9349235,417,420
"comyel",0.99992776,479,482
"reevir1",0.9672166,527,530
"magwar",0.9655622,552,555
"linspa",0.9980376,559,562
