"species_code","score","start_offset_sec","end_offset_sec"
"naswar",0.9995894,10,13
"magwar",0.9823788,18,21
"cangoo",0.989567,54,57
"linspa",0.9983983,184,187
"chispa",0.94477713,189,192
"whtspa",0.99975246,194,197
"reevir1",0.9619789,233,236
"rebnut",0.9999358,312,315
"swathr",0.92230517,355,358
"gockin",0.9275135,416,419
"olsfly",0.99689335,440,443
"herthr",0.9997008,538,541
