"species_code","score","start_offset_sec","end_offset_sec"
"amecro",0.9859141,1,4
"norfli",0.9912474,24,27
"moudov",0.907232,26,29
"reevir1",0.89701986,31,34
"yetvir",0.5316742,31,34
"bkbplo",0.33170164,53,56
"rewbla",0.966695,193,196
"whbnut",0.93553,218,221
"bkcchi",0.8901897,221,224
"boboli",0.9981139,244,247
"mouwar",0.1887238,274,277
"ovenbi1",0.99290633,275,278
"grycat",0.98143244,297,300
"purfin",0.7230485,326,329
"blujay",0.9992865,329,332
"aldfly",0.3614362,336,339
"rebwoo",0.8323388,348,351
"sedwre1",0.19002043,419,422
"brnthr",0.9378005,422,425
"amegfi",0.9937307,493,496
"norcar",0.98292017,499,502
"sonspa",0.86360383,523,526
"pilwoo",0.9958931,530,533
